,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),tonnes,Yield(hg/ha),"Ammonia, anhydrous",Ammonium nitrate (AN),Ammonium sulphate,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,Diammonium phosphate (DAP),Fertilizers n.e.c.,Monoammonium phosphate (MAP),NPK fertilizers,Other NP compounds,"Other nitrogenous fertilizers, n.e.c.","Other phosphatic fertilizers, n.e.c.","Other potassic fertilizers, n.e.c.",PK compounds,Phosphate rock,Potassium chloride (muriate of potash) (MOP),Potassium nitrate,Potassium sulphate (sulphate of potash) (SOP),Sodium nitrate,Superphosphates above 35%,"Superphosphates, other",Urea,Urea and ammonium nitrate solutions (UAN)
54,2003,1827767,284138,486464,Mixed grain,44769,189585.0,42347,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
55,2003,1827767,284138,486464,Oats,261927,1201647.0,45877,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
56,2003,1827767,284138,486464,"Onions and shallots, dry (excluding dehydrated)",7865,271520.0,345226,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
57,2003,1827767,284138,486464,"Other beans, green",4513,38323.0,84917,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
58,2003,1827767,284138,486464,Other stone fruits,474,4138.0,87300,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
59,2003,1827767,284138,486464,Peaches and nectarines,101,353.0,34950,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
60,2003,1827767,284138,486464,Pears,2090,53494.0,255952,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
61,2003,1827767,284138,486464,"Peas, dry",135916,391739.0,28822,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
62,2003,1827767,284138,486464,"Peas, green",5656,26352.0,46591,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
63,2003,1827767,284138,486464,Plums and sloes,4519,47873.0,105937,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
64,2003,1827767,284138,486464,Potatoes,287264,9915679.0,345177,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
65,2003,1827767,284138,486464,Rape or colza seed,1265608,3633936.0,28713,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
66,2003,1827767,284138,486464,Rye,531231,2277416.0,42871,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
67,2003,1827767,284138,486464,Sour cherries,4197,33694.0,80281,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
68,2003,1827767,284138,486464,Spinach,3433,56840.0,165569,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
69,2003,1827767,284138,486464,Strawberries,10464,95278.0,91053,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
70,2003,1827767,284138,486464,Sugar beet,445630,23715735.0,532184,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
71,2003,1827767,284138,486464,Sunflower seed,37200,73043.0,19635,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
72,2003,1827767,284138,486464,Tomatoes,294,48870.0,1662245,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
73,2003,1827767,284138,486464,Triticale,499796,2480365.0,49628,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
74,2003,1827767,284138,486464,Unmanufactured tobacco,4700,11625.0,24734,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
75,2003,1827767,284138,486464,Wheat,2963731,19259811.0,64985,362930.9,29877.5,154645.7,2414855.1,166872.1,82096.36,74166.7,1026860.1,198219.98,123591.54,74248.3,369.3,155310.1,120230.8,85597.0,11294.3,5441.2,5021.6,107487.8,,431967.8,351297.6
76,2004,1778438,302714,478415,Apples,32345,979730.0,302900,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
77,2004,1778438,302714,478415,Apricots,53,489.0,92264,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
78,2004,1778438,302714,478415,Asparagus,16744,72516.0,43309,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
79,2004,1778438,302714,478415,Barley,1979472,12992870.0,65638,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
80,2004,1778438,302714,478415,"Broad beans and horse beans, dry",15511,64097.0,41324,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
81,2004,1778438,302714,478415,Cabbages,16034,795370.0,496052,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
82,2004,1778438,302714,478415,Carrots and turnips,10504,554330.0,527732,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
83,2004,1778438,302714,478415,Cauliflowers and broccoli,7740,182264.0,235483,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
84,2004,1778438,302714,478415,Cherries,5504,39076.0,70996,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
85,2004,1778438,302714,478415,Cucumbers and gherkins,2999,204903.0,683238,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
86,2004,1778438,302714,478415,Currants,10000,60000.0,60000,373226.6,17952.8,137214.5,1932859.8,187095.5,170206.98,49880.8,969934.2,165954.91,155250.42,65855.9,1028.2,144186.2,148082.4,97924.1,12814.68,4426.1,6881.6,111910.1,,360707.5,291531.7
