,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,harvest_area (ha),crop_production(tonnes),Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Bipiridils,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Sulfonyl ureas,Herbicides – Triazines,Herbicides – Uracil,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Chlorinated Hydrocarbons,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Anti-coagulants,Rodenticides – Other,Seed Treat Fung – Benzimidazoles,Seed Treat Fung – Botanical products and biologicals,Seed Treat Fung – Dithiocarbamates,Seed Treat Fung – Other,"Seed Treat Fung – Triazoles, diazoles",Seed Treat Insect – Carbamates,Seed Treat Insect – Organo-phosphates,Seed Treat Insect – Other,Seed Treat Insect – Pyrethroids
34,1991,1720000,519000,729658,Asparagus,6253,15477.0,2.4751,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
35,1991,1720000,519000,729658,Barley,2535384,14493757.0,5.7166,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
36,1991,1720000,519000,729658,"Broad beans and horse beans, dry",24281,86667.0,3.5693,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
37,1991,1720000,519000,729658,"Broad beans and horse beans, green",992,6582.0,6.6351,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
38,1991,1720000,519000,729658,Cabbages,17636,768105.0,43.5532,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
39,1991,1720000,519000,729658,Carrots and turnips,6730,224818.0,33.4053,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
40,1991,1720000,519000,729658,Cauliflowers and broccoli,6891,165857.0,24.0686,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
41,1991,1720000,519000,729658,Cucumbers and gherkins,3132,123754.0,39.5128,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
42,1991,1720000,519000,729658,Currants,21270,126356.0,5.9406,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
43,1991,1720000,519000,729658,Gooseberries,13045,74755.0,5.7305,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
44,1991,1720000,519000,729658,Hop cones,22478,36461.0,1.6221,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
45,1991,1720000,519000,729658,Leeks and other alliaceous vegetables,1949,48053.0,24.6552,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
46,1991,1720000,519000,729658,Lettuce and chicory,5500,130000.0,23.6364,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
47,1991,1720000,519000,729658,Maize (corn),283052,1936987.0,6.8432,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
48,1991,1720000,519000,729658,Mixed grain,67721,318163.0,4.6981,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
49,1991,1720000,519000,729658,Oats,379678,1866974.0,4.9173,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
50,1991,1720000,519000,729658,"Onions and shallots, dry (excluding dehydrated)",4399,155530.0,35.3558,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
51,1991,1720000,519000,729658,"Other beans, green",5261,47797.0,9.0852,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
52,1991,1720000,519000,729658,Other stone fruits,520,8500.0,16.3462,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
53,1991,1720000,519000,729658,"Peas, dry",22545,74755.0,3.3158,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
54,1991,1720000,519000,729658,"Peas, green",3438,15051.0,4.3778,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
55,1991,1720000,519000,729658,Potatoes,341782,10200971.0,29.8464,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
56,1991,1720000,519000,729658,Rape or colza seed,949537,2972299.0,3.1303,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
57,1991,1720000,519000,729658,Rye,710502,3323460.0,4.6776,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
58,1991,1720000,519000,729658,Sour cherries,20490,105000.0,5.1245,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
59,1991,1720000,519000,729658,Soya beans,1080,2583.0,2.3917,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
60,1991,1720000,519000,729658,Spinach,2463,33148.0,13.4584,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
61,1991,1720000,519000,729658,Strawberries,5905,53485.0,9.0576,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
62,1991,1720000,519000,729658,Sugar beet,554143,25925733.0,46.7853,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
63,1991,1720000,519000,729658,Sunflower seed,43902,126000.0,2.87,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
64,1991,1720000,519000,729658,Tomatoes,289,25189.0,87.1592,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
65,1991,1720000,519000,729658,Triticale,130159,716550.0,5.5052,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
66,1991,1720000,519000,729658,Unmanufactured tobacco,3383,6889.0,2.0364,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
67,1991,1720000,519000,729658,"Walnuts, in shell",5120,5100.0,0.9961,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
68,1991,1720000,519000,729658,Wheat,2453332,16611967.0,6.7712,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,,1230.0,1500.0,5571.0,3551.0,,640.0,,4049.0,78.0,362.0,128.0,489.0,341.0,79.0,572.0,2392.0,6.0,4.0,,,,,,,,,
