,Year,Nutrient nitrogen N (total) - tonnes,Nutrient phosphate P2O5 (total) - tonnes,Nutrient potash K2O (total) - tonnes,Item,Yield(tonnes/ha),Fung & Bact – Benzimidazoles,"Fung & Bact – Diazines, morpholines",Fung & Bact – Dithiocarbamates,Fung & Bact – Inorganics,Fung & Bact – Other,"Fung & Bact – Triazoles, diazoles",Herbicides – Amides,Herbicides – Carbamates,Herbicides – Dinitroanilines,Herbicides – Other,Herbicides – Phenoxy hormone products,Herbicides – Triazines,Herbicides – Urea derivates,Insecticides – Botanical products and biologicals,Insecticides – Carbamates,Insecticides – Organo-phosphates,Insecticides – Other,Insecticides – Pyrethroids,Mineral Oils,Plant Growth Regulators,Rodenticides – Other,Herbicides – Bipiridils,Herbicides – Sulfonyl ureas,Rodenticides – Anti-coagulants
47,1990,1787300,609000,954400,Vetches,1.0959,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
48,1990,1787300,609000,954400,"Walnuts, in shell",2.3828,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
49,1990,1787300,609000,954400,Wheat,6.2734,215.0,1047.0,2828.0,2466.0,2670.0,1719.0,642.0,924.0,1072.0,4036.0,4357.0,1085.0,3825.0,1.0,316.0,891.0,396.0,113.0,642.0,1910.0,8.0,139.76666666666668,41.6,5.0
50,1991,1720000,519000,729658,Apples,19.9184,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
51,1991,1720000,519000,729658,Apricots,9.0,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
52,1991,1720000,519000,729658,Asparagus,2.4751,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
53,1991,1720000,519000,729658,Barley,5.7166,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
54,1991,1720000,519000,729658,"Beans, dry",3.083,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
55,1991,1720000,519000,729658,"Broad beans and horse beans, dry",3.5693,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
56,1991,1720000,519000,729658,"Broad beans and horse beans, green",6.6351,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
57,1991,1720000,519000,729658,Cabbages,43.5532,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
58,1991,1720000,519000,729658,Carrots and turnips,33.4053,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
59,1991,1720000,519000,729658,Cauliflowers and broccoli,24.0686,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
60,1991,1720000,519000,729658,Cherries,7.5715,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
61,1991,1720000,519000,729658,Cucumbers and gherkins,39.5128,212.0,1007.0,2712.0,1625.0,2283.0,1926.0,1249.0,1230.0,1500.0,5571.0,3551.0,640.0,4049.0,78.0,362.0,489.0,341.0,79.0,572.0,2392.0,4.0,139.76666666666668,41.6,6.0
