,Crop,Variable,Correlation
333,Leeks and other alliaceous vegetables,"Superphosphates, other",0.36416408701521485
334,Leeks and other alliaceous vegetables,Urea,0.5775711585375304
335,Leeks and other alliaceous vegetables,Urea and ammonium nitrate solutions (UAN),-0.5835004747029874
336,Lettuce and chicory,Year,0.811167951344474
337,Lettuce and chicory,Nutrient nitrogen N (total) - tonnes,-0.7812719137162478
338,Lettuce and chicory,Nutrient phosphate P2O5 (total) - tonnes,-0.3933842870292336
339,Lettuce and chicory,Nutrient potash K2O (total) - tonnes,0.015763218764824213
340,Lettuce and chicory,harvest_area (ha),-0.5587729399853976
341,Lettuce and chicory,tonnes,0.0006193691034608482
342,Lettuce and chicory,"Ammonia, anhydrous",0.6159344796932049
343,Lettuce and chicory,Ammonium nitrate (AN),-0.5172556169379213
344,Lettuce and chicory,Ammonium sulphate,0.11953621519064013
345,Lettuce and chicory,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,-0.41847873086432663
346,Lettuce and chicory,Diammonium phosphate (DAP),0.3817649965115906
347,Lettuce and chicory,Fertilizers n.e.c.,0.585882801789778
348,Lettuce and chicory,Monoammonium phosphate (MAP),-0.787176494761108
349,Lettuce and chicory,NPK fertilizers,-0.6879581649621154
350,Lettuce and chicory,Other NP compounds,-0.4410399036526668
351,Lettuce and chicory,"Other nitrogenous fertilizers, n.e.c.",0.771197617283053
352,Lettuce and chicory,"Other phosphatic fertilizers, n.e.c.",-0.7344840868524826
353,Lettuce and chicory,"Other potassic fertilizers, n.e.c.",0.8008768397731063
354,Lettuce and chicory,PK compounds,-0.6592483026004281
355,Lettuce and chicory,Phosphate rock,-0.5269130675397365
356,Lettuce and chicory,Potassium chloride (muriate of potash) (MOP),0.3191493024136875
357,Lettuce and chicory,Potassium nitrate,0.36724903797287767
358,Lettuce and chicory,Potassium sulphate (sulphate of potash) (SOP),0.06767979098263262
359,Lettuce and chicory,Sodium nitrate,-0.4301347338169061
360,Lettuce and chicory,Superphosphates above 35%,-0.549883408189518
361,Lettuce and chicory,"Superphosphates, other",0.35094849091605196
362,Lettuce and chicory,Urea,0.006512514692894897
363,Lettuce and chicory,Urea and ammonium nitrate solutions (UAN),-0.8205857598106084
364,Linseed,Year,-0.11120931377970866
365,Linseed,Nutrient nitrogen N (total) - tonnes,0.7352813231603439
366,Linseed,Nutrient phosphate P2O5 (total) - tonnes,-0.04167421386022648
367,Linseed,Nutrient potash K2O (total) - tonnes,0.037443755554499025
368,Linseed,harvest_area (ha),0.40027120402992433
369,Linseed,tonnes,0.6246075321561104
370,Linseed,"Ammonia, anhydrous",-0.21828144772135896
371,Linseed,Ammonium nitrate (AN),-0.297012520506913
372,Linseed,Ammonium sulphate,-0.022787668496300425
373,Linseed,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.20205286481469698
