Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2015","2015","tonnes","346240.43","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2016","2016","tonnes","319478.82","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2017","2017","tonnes","340277.58","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","238397.46","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","261025.68","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","310216.95","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4030","Fertilizers n.e.c.","2019","2019","tonnes","519794","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4030","Fertilizers n.e.c.","2020","2020","tonnes","457012","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2002","2002","tonnes","119229.3","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2003","2003","tonnes","82096.36","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2004","2004","tonnes","170206.98","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2005","2005","tonnes","85803.84","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2006","2006","tonnes","24991.1","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2007","2007","tonnes","22707.5","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2008","2008","tonnes","37986.06","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2009","2009","tonnes","21608.53","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2010","2010","tonnes","28140.54","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2011","2011","tonnes","21900.81","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2012","2012","tonnes","13813.91","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2013","2013","tonnes","16754.73","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2014","2014","tonnes","20217.65","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2015","2015","tonnes","17769.08","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2016","2016","tonnes","26840.67","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2017","2017","tonnes","15975.63","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2018","2018","tonnes","14207.93","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2019","2019","tonnes","16988.91","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4030","Fertilizers n.e.c.","2020","2020","tonnes","21556.46","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2002","2002","tonnes","59973.51","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2003","2003","tonnes","74166.7","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2004","2004","tonnes","49880.8","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2005","2005","tonnes","41749","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2006","2006","tonnes","55845.9","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2007","2007","tonnes","41047.5","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2008","2008","tonnes","30741.2","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2009","2009","tonnes","47404.3","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2010","2010","tonnes","35390.67","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2011","2011","tonnes","36626.12","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2012","2012","tonnes","21092.44","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2013","2013","tonnes","27304.77","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2014","2014","tonnes","25365.41","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2015","2015","tonnes","23606.66","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2016","2016","tonnes","25571.11","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2017","2017","tonnes","20209.06","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2018","2018","tonnes","18575.38","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2019","2019","tonnes","13813.42","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4023","Monoammonium phosphate (MAP)","2020","2020","tonnes","14088.17","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4021","NPK fertilizers","2019","2019","tonnes","325318","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5510","Production","4021","NPK fertilizers","2020","2020","tonnes","296398","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2002","2002","tonnes","814618.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2003","2003","tonnes","1026860.1","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2004","2004","tonnes","969934.2","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2005","2005","tonnes","826339.7","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2006","2006","tonnes","642446.6","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2007","2007","tonnes","695573.2","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2008","2008","tonnes","733332.54","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2009","2009","tonnes","153694.17","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2010","2010","tonnes","578088.04","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2011","2011","tonnes","512446.36","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2012","2012","tonnes","487008.29","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2013","2013","tonnes","485581.58","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2014","2014","tonnes","565177.68","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2015","2015","tonnes","445810.26","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2016","2016","tonnes","452595.95","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2017","2017","tonnes","495708.53","A","Official figure"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2018","2018","tonnes","357389.82","X","Figure from international organizations"
"RFB","Fertilizers by Product","276","Germany","5610","Import Quantity","4021","NPK fertilizers","2019","2019","tonnes","398908.24","A","Official figure"
