,Year,Item,harvest_area (ha),Yield(hg/ha)
691,2006,Hop cones,17214,16562
692,2007,Hop cones,17747,18110
693,2008,Hop cones,18780,21126
694,2009,Hop cones,18450,16990
695,2010,Hop cones,18386,18628
696,2011,Hop cones,18588,20480
697,2012,Hop cones,17154,20073
698,2013,Hop cones,16622,16564
699,2014,Hop cones,17300,22247
700,2015,Hop cones,18400,15408
701,2018,Hop cones,20500,20390
702,2019,Hop cones,20300,23892
703,2020,Hop cones,20600,22767
704,2021,Hop cones,20900,22919
705,1989,Leeks and other alliaceous vegetables,1605,270648
706,1990,Leeks and other alliaceous vegetables,2296,230971
707,1991,Leeks and other alliaceous vegetables,1949,246552
708,1992,Leeks and other alliaceous vegetables,2100,263905
709,1993,Leeks and other alliaceous vegetables,2068,274110
710,1994,Leeks and other alliaceous vegetables,2375,271242
711,1995,Leeks and other alliaceous vegetables,2435,264218
712,1996,Leeks and other alliaceous vegetables,2567,273564
713,1997,Leeks and other alliaceous vegetables,2585,275896
714,1998,Leeks and other alliaceous vegetables,2368,270253
715,1999,Leeks and other alliaceous vegetables,2424,288936
716,2000,Leeks and other alliaceous vegetables,2683,220496
717,2001,Leeks and other alliaceous vegetables,2718,239382
718,2002,Leeks and other alliaceous vegetables,2687,233416
719,2003,Leeks and other alliaceous vegetables,2852,228124
720,2004,Leeks and other alliaceous vegetables,2880,243934
721,2005,Leeks and other alliaceous vegetables,2913,261184
722,2006,Leeks and other alliaceous vegetables,3056,288465
723,2007,Leeks and other alliaceous vegetables,3222,326763
724,2008,Leeks and other alliaceous vegetables,3379,337934
725,2009,Leeks and other alliaceous vegetables,3046,324741
726,2010,Leeks and other alliaceous vegetables,2311,347274
727,2011,Leeks and other alliaceous vegetables,2399,349371
728,2012,Leeks and other alliaceous vegetables,2605,446484
729,2013,Leeks and other alliaceous vegetables,2631,422687
730,2014,Leeks and other alliaceous vegetables,2346,460993
731,2015,Leeks and other alliaceous vegetables,2178,410880
732,2016,Leeks and other alliaceous vegetables,2129,403293
733,2017,Leeks and other alliaceous vegetables,2621,380542
734,2018,Leeks and other alliaceous vegetables,2080,370096
735,2019,Leeks and other alliaceous vegetables,2090,421196
736,2020,Leeks and other alliaceous vegetables,2260,398097
737,2021,Leeks and other alliaceous vegetables,2420,385496
738,1961,"Lentils, dry",12,4167
739,1962,"Lentils, dry",9,4444
740,1963,"Lentils, dry",26,5000
741,1964,"Lentils, dry",21,5238
742,1965,"Lentils, dry",13,7692
743,1966,"Lentils, dry",21,2381
744,1969,Lettuce and chicory,5119,158429
745,1970,Lettuce and chicory,5320,164923
746,1971,Lettuce and chicory,6254,161589
747,1972,Lettuce and chicory,5813,165907
748,1973,Lettuce and chicory,5115,188078
749,1974,Lettuce and chicory,4715,181455
750,1975,Lettuce and chicory,4906,171675
751,1976,Lettuce and chicory,5029,164225
752,1977,Lettuce and chicory,5067,173835
753,1978,Lettuce and chicory,5112,180323
754,1979,Lettuce and chicory,5099,184179
755,1980,Lettuce and chicory,4659,194821
756,1981,Lettuce and chicory,4626,199987
757,1982,Lettuce and chicory,4508,200004
758,1983,Lettuce and chicory,4717,196131
759,1984,Lettuce and chicory,4655,199532
760,1985,Lettuce and chicory,4321,202895
761,1986,Lettuce and chicory,4039,178886
762,1987,Lettuce and chicory,4445,208043
763,1988,Lettuce and chicory,4299,199958
764,1989,Lettuce and chicory,4192,219005
765,1990,Lettuce and chicory,4441,227161
766,1991,Lettuce and chicory,5500,236364
767,1992,Lettuce and chicory,6940,188958
768,1993,Lettuce and chicory,5100,239216
769,1994,Lettuce and chicory,5650,224071
770,1995,Lettuce and chicory,5300,237736
771,1996,Lettuce and chicory,13643,114780
772,1997,Lettuce and chicory,6024,239958
773,1998,Lettuce and chicory,6641,240337
774,1999,Lettuce and chicory,7627,241466
775,2000,Lettuce and chicory,11074,180405
776,2001,Lettuce and chicory,10774,178968
777,2002,Lettuce and chicory,11014,198585
778,2003,Lettuce and chicory,10999,183769
779,2004,Lettuce and chicory,12092,220684
780,2005,Lettuce and chicory,11622,218362
781,2006,Lettuce and chicory,13389,226576
782,2007,Lettuce and chicory,13986,222979
783,2008,Lettuce and chicory,15148,209098
784,2009,Lettuce and chicory,15190,225756
785,2010,Lettuce and chicory,14583,208490
786,2011,Lettuce and chicory,13787,227023
787,2012,Lettuce and chicory,14832,280806
788,2013,Lettuce and chicory,13823,248774
789,2014,Lettuce and chicory,14313,238598
790,2015,Lettuce and chicory,14150,242455
791,2016,Lettuce and chicory,14278,233250
792,2017,Lettuce and chicory,15096,234422
793,2018,Lettuce and chicory,7800,291667
794,2019,Lettuce and chicory,7740,310659
795,2020,Lettuce and chicory,7200,314153
796,2021,Lettuce and chicory,7160,317388
797,1961,Linseed,25701,3391
798,1962,Linseed,26570,3787
799,1963,Linseed,17752,3764
800,1964,Linseed,12089,3659
801,1965,Linseed,14445,4404
802,1966,Linseed,16098,3991
803,1967,Linseed,15063,4503
804,1968,Linseed,10762,4395
805,1969,Linseed,10446,4753
806,1970,Linseed,10649,4238
807,1971,Linseed,11166,4404
808,1972,Linseed,8995,4146
809,1973,Linseed,3847,4336
810,1974,Linseed,2198,3954
811,1975,Linseed,1951,4377
812,1976,Linseed,1395,4358
813,1977,Linseed,559,3685
814,1978,Linseed,472,953
815,1979,Linseed,286,5559
816,1991,Linseed,8000,15000
817,1992,Linseed,77600,9021
818,1993,Linseed,30100,9967
819,1994,Linseed,28000,9643
820,1995,Linseed,54000,8519
821,1996,Linseed,86000,8605
822,1997,Linseed,95027,12207
823,1998,Linseed,111048,17470
824,1999,Linseed,199778,8009
825,2000,Linseed,102500,8868
826,2001,Linseed,33000,14485
827,2002,Linseed,10300,16602
828,2003,Linseed,16200,17778
829,2004,Linseed,12900,17953
830,2005,Linseed,14000,18121
831,2006,Linseed,13900,16115
832,2007,Linseed,6300,9524
833,2008,Linseed,4200,9524
834,2009,Linseed,4100,9756
835,2010,Linseed,6859,10206
836,2011,Linseed,4600,13043
837,2012,Linseed,4200,14286
838,2013,Linseed,3700,16216
839,2014,Linseed,4200,14286
840,2015,Linseed,5000,14000
841,2016,Linseed,4200,14286
842,2017,Linseed,4600,15217
843,1961,Lupins,18591,7207
844,1962,Lupins,19688,8198
845,1963,Lupins,19604,6168
846,1992,Lupins,1000,12000
847,1993,Lupins,500,12000
848,2003,Lupins,45627,13150
849,2004,Lupins,35818,12843
850,2005,Lupins,38600,12953
851,2006,Lupins,32800,12805
852,2007,Lupins,25246,12675
853,2008,Lupins,19869,12582
854,2009,Lupins,19360,12913
855,2010,Lupins,24006,12738
856,2011,Lupins,21500,12837
857,2012,Lupins,17900,17598
858,2013,Lupins,17400,17874
859,2014,Lupins,21400,19065
860,2015,Lupins,29600,12939
861,2016,Lupins,28600,17483
862,2017,Lupins,29000,18207
863,2018,Lupins,23400,9530
864,2019,Lupins,21000,12190
865,2020,Lupins,22300,15291
866,2021,Lupins,29000,18414
867,1961,Maize (corn),9024,28979
868,1962,Maize (corn),14004,32319
869,1963,Maize (corn),14554,34526
870,1964,Maize (corn),19296,33691
871,1965,Maize (corn),28003,35354
872,1966,Maize (corn),32018,40115
873,1967,Maize (corn),42024,46993
874,1968,Maize (corn),59046,48943
875,1969,Maize (corn),82773,48750
876,1970,Maize (corn),104750,49743
877,1971,Maize (corn),119650,50396
878,1972,Maize (corn),126847,46595
879,1973,Maize (corn),109909,53353
880,1974,Maize (corn),108683,48195
881,1975,Maize (corn),96506,55169
882,1976,Maize (corn),102546,46782
883,1977,Maize (corn),100041,58107
884,1978,Maize (corn),117163,52868
885,1979,Maize (corn),116533,64057
886,1980,Maize (corn),119749,56435
887,1981,Maize (corn),129626,64444
888,1982,Maize (corn),160577,65717
889,1983,Maize (corn),169103,55224
890,1984,Maize (corn),181618,56516
891,1985,Maize (corn),181193,66479
892,1986,Maize (corn),187458,69549
893,1987,Maize (corn),194450,62600
894,1988,Maize (corn),199418,77095
895,1989,Maize (corn),208932,75310
896,1990,Maize (corn),229000,67762
897,1991,Maize (corn),283052,68432
898,1992,Maize (corn),295658,72348
899,1993,Maize (corn),331115,80227
900,1994,Maize (corn),345439,70808
901,1995,Maize (corn),325065,73664
902,1996,Maize (corn),372116,78272
903,1997,Maize (corn),368267,86577
904,1998,Maize (corn),341029,81561
905,1999,Maize (corn),370735,87850
906,2000,Maize (corn),360841,92119
907,2001,Maize (corn),396544,88376
908,2002,Maize (corn),398745,93755
909,2003,Maize (corn),463355,73845
910,2004,Maize (corn),461697,90966
911,2005,Maize (corn),443100,92139
912,2006,Maize (corn),401000,80307
913,2007,Maize (corn),403210,94475
914,2008,Maize (corn),520478,98099
915,2009,Maize (corn),464333,97500
916,2010,Maize (corn),466591,90261
917,2011,Maize (corn),487900,106243
918,2012,Maize (corn),526200,104802
919,2013,Maize (corn),497000,88276
920,2014,Maize (corn),481300,106838
921,2015,Maize (corn),455500,87223
922,2016,Maize (corn),416300,96512
923,2017,Maize (corn),432000,105269
924,2018,Maize (corn),410900,81390
925,2019,Maize (corn),416000,88096
926,2020,Maize (corn),419300,95874
927,2021,Maize (corn),430700,103608
928,1961,Mixed grain,721349,23535
929,1962,Mixed grain,795379,28019
930,1963,Mixed grain,733055,27053
931,1964,Mixed grain,739261,28783
932,1965,Mixed grain,672029,26953
933,1966,Mixed grain,663372,26890
934,1967,Mixed grain,637618,31036
935,1968,Mixed grain,638016,32239
936,1969,Mixed grain,637877,31591
937,1970,Mixed grain,579462,27079
938,1971,Mixed grain,515345,34175
939,1972,Mixed grain,479632,34380
940,1973,Mixed grain,446662,33626
941,1974,Mixed grain,412129,37274
942,1975,Mixed grain,385527,34167
943,1976,Mixed grain,316312,29263
944,1977,Mixed grain,295435,33957
945,1978,Mixed grain,262830,37479
946,1979,Mixed grain,227507,36443
947,1980,Mixed grain,201475,35922
948,1981,Mixed grain,176229,35964
949,1982,Mixed grain,251072,39279
950,1983,Mixed grain,157486,32540
951,1984,Mixed grain,151100,40796
952,1985,Mixed grain,145338,42142
953,1986,Mixed grain,137218,40943
954,1987,Mixed grain,109951,39329
955,1988,Mixed grain,93362,40648
956,1989,Mixed grain,87686,37959
957,1990,Mixed grain,68411,45527
958,1991,Mixed grain,67721,46981
959,1992,Mixed grain,64741,39310
960,1993,Mixed grain,58104,44330
961,1994,Mixed grain,63010,41445
962,1995,Mixed grain,54999,41817
963,1996,Mixed grain,57265,48879
964,1997,Mixed grain,58587,46438
965,1998,Mixed grain,48216,46737
966,1999,Mixed grain,50089,47302
967,2000,Mixed grain,39139,45664
968,2001,Mixed grain,36366,46778
969,2002,Mixed grain,35280,44508
970,2003,Mixed grain,44769,42347
971,2004,Mixed grain,33961,50509
972,2005,Mixed grain,35500,44507
973,2006,Mixed grain,34000,43912
974,2007,Mixed grain,29728,41327
975,2008,Mixed grain,27551,45158
976,2009,Mixed grain,27108,48888
977,2010,Mixed grain,15808,39167
978,2011,Mixed grain,16200,41790
979,2012,Mixed grain,31900,47492
980,2013,Mixed grain,17400,46724
981,2014,Mixed grain,14100,47589
982,2015,Mixed grain,14200,43662
983,2016,Mixed grain,10800,41944
984,2017,Mixed grain,11400,37982
985,2018,Mixed grain,11300,37345
986,2019,Mixed grain,8900,35618
987,2020,Mixed grain,8700,37011
988,2021,Mixed grain,7200,36111
989,1961,Mustard seed,5368,6544
990,1962,Mustard seed,14920,8911
991,1963,Mustard seed,9793,6382
992,1964,Mustard seed,2939,6536
993,1965,Mustard seed,2137,8690
994,1966,Mustard seed,4875,7785
995,1967,Mustard seed,3814,10071
996,1968,Mustard seed,3726,9979
997,1969,Mustard seed,4653,9613
998,1970,Mustard seed,2258,8977
999,1971,Mustard seed,2759,10616
1000,1972,Mustard seed,4006,12726
1001,1973,Mustard seed,3469,12698
1002,1974,Mustard seed,4204,14593
1003,1975,Mustard seed,3522,12118
1004,1976,Mustard seed,2891,10287
1005,1977,Mustard seed,4209,11877
1006,1978,Mustard seed,4488,16580
1007,1979,Mustard seed,5799,15487
1008,1980,Mustard seed,4654,11927
1009,1981,Mustard seed,4549,12128
1010,1982,Mustard seed,4474,16160
1011,1983,Mustard seed,6093,11124
1012,1984,Mustard seed,8188,12231
1013,1985,Mustard seed,5764,16218
1014,1986,Mustard seed,5483,13841
1015,1987,Mustard seed,5364,12744
1016,1988,Mustard seed,4806,14114
1017,1989,Mustard seed,6308,15016
1018,2012,Mustard seed,8000,13125
1019,2013,Mustard seed,8000,13125
1020,1961,Oats,1073586,25789
1021,1962,Oats,1177606,28755
1022,1963,Oats,1085496,28814
1023,1964,Oats,1061730,29035
1024,1965,Oats,986779,28475
1025,1966,Oats,1038601,29303
1026,1967,Oats,1077720,33068
1027,1968,Oats,1076833,34889
1028,1969,Oats,1132218,33712
1029,1970,Oats,1034691,29395
1030,1971,Oats,1065536,36076
1031,1972,Oats,1054761,35818
1032,1973,Oats,1059364,36351
1033,1974,Oats,1073451,41027
1034,1975,Oats,1163628,36311
1035,1976,Oats,1045445,28727
1036,1977,Oats,945801,33048
1037,1978,Oats,902254,42094
1038,1979,Oats,864446,40786
1039,1980,Oats,846205,38285
1040,1981,Oats,853526,38381
1041,1982,Oats,941072,42086
1042,1983,Oats,763846,33585
1043,1984,Oats,715642,44806
1044,1985,Oats,761719,46657
1045,1986,Oats,668227,44033
1046,1987,Oats,608192,44670
1047,1988,Oats,622039,40922
1048,1989,Oats,561610,35781
1049,1990,Oats,472721,44535
1050,1991,Oats,379678,49173
1051,1992,Oats,357508,36758
1052,1993,Oats,358639,48255
1053,1994,Oats,391857,42440
1054,1995,Oats,309194,45940
1055,1996,Oats,301888,53198
1056,1997,Oats,312388,51187
1057,1998,Oats,264143,48435
1058,1999,Oats,267754,50016
1059,2000,Oats,237020,45870
1060,2001,Oats,233324,49332
1061,2002,Oats,233148,43571
1062,2003,Oats,261927,45877
1063,2004,Oats,227829,52047
1064,2005,Oats,209900,45908
1065,2006,Oats,183700,45177
1066,2007,Oats,177831,40934
1067,2008,Oats,179485,44192
1068,2009,Oats,162593,50776
1069,2010,Oats,141433,42285
1070,2011,Oats,143400,43752
1071,2012,Oats,145400,52029
1072,2013,Oats,131500,47734
1073,2014,Oats,123800,50654
1074,2015,Oats,125700,45052
1075,2016,Oats,115500,46398
1076,2017,Oats,128100,45004
1077,2018,Oats,140400,41140
1078,2019,Oats,126300,41116
1079,2020,Oats,157100,45952
1080,2021,Oats,177300,43232
1081,1961,"Onions and shallots, dry (excluding dehydrated)",4026,176567
1082,1962,"Onions and shallots, dry (excluding dehydrated)",4199,161884
1083,1963,"Onions and shallots, dry (excluding dehydrated)",5072,138764
1084,1964,"Onions and shallots, dry (excluding dehydrated)",5414,138971
1085,1965,"Onions and shallots, dry (excluding dehydrated)",4962,194875
1086,1966,"Onions and shallots, dry (excluding dehydrated)",3631,220909
1087,1967,"Onions and shallots, dry (excluding dehydrated)",3770,234782
1088,1968,"Onions and shallots, dry (excluding dehydrated)",3744,206106
1089,1969,"Onions and shallots, dry (excluding dehydrated)",3432,163902
1090,1970,"Onions and shallots, dry (excluding dehydrated)",4223,242269
1091,1971,"Onions and shallots, dry (excluding dehydrated)",3828,203793
1092,1972,"Onions and shallots, dry (excluding dehydrated)",3958,237236
1093,1973,"Onions and shallots, dry (excluding dehydrated)",3833,147310
1094,1974,"Onions and shallots, dry (excluding dehydrated)",4141,228739
1095,1975,"Onions and shallots, dry (excluding dehydrated)",4305,145928
1096,1976,"Onions and shallots, dry (excluding dehydrated)",4977,113858
1097,1977,"Onions and shallots, dry (excluding dehydrated)",5401,221603
1098,1978,"Onions and shallots, dry (excluding dehydrated)",5649,213896
1099,1979,"Onions and shallots, dry (excluding dehydrated)",5786,188216
1100,1980,"Onions and shallots, dry (excluding dehydrated)",6062,210777
1101,1981,"Onions and shallots, dry (excluding dehydrated)",6338,233004
1102,1982,"Onions and shallots, dry (excluding dehydrated)",6036,221216
1103,1983,"Onions and shallots, dry (excluding dehydrated)",5879,234237
1104,1984,"Onions and shallots, dry (excluding dehydrated)",6631,265117
1105,1985,"Onions and shallots, dry (excluding dehydrated)",6468,297413
1106,1986,"Onions and shallots, dry (excluding dehydrated)",6431,289213
1107,1987,"Onions and shallots, dry (excluding dehydrated)",6452,313153
1108,1988,"Onions and shallots, dry (excluding dehydrated)",7332,287220
1109,1989,"Onions and shallots, dry (excluding dehydrated)",7874,288193
1110,1990,"Onions and shallots, dry (excluding dehydrated)",6741,315039
1111,1991,"Onions and shallots, dry (excluding dehydrated)",4399,353558
1112,1992,"Onions and shallots, dry (excluding dehydrated)",5710,352002
1113,1993,"Onions and shallots, dry (excluding dehydrated)",5263,411404
1114,1994,"Onions and shallots, dry (excluding dehydrated)",5773,375792
1115,1995,"Onions and shallots, dry (excluding dehydrated)",6590,358774
1116,1996,"Onions and shallots, dry (excluding dehydrated)",6906,404257
1117,1997,"Onions and shallots, dry (excluding dehydrated)",5829,388851
1118,1998,"Onions and shallots, dry (excluding dehydrated)",6775,383866
1119,1999,"Onions and shallots, dry (excluding dehydrated)",6618,395946
1120,2000,"Onions and shallots, dry (excluding dehydrated)",7526,420781
1121,2001,"Onions and shallots, dry (excluding dehydrated)",7197,399162
1122,2002,"Onions and shallots, dry (excluding dehydrated)",6911,423477
1123,2003,"Onions and shallots, dry (excluding dehydrated)",7865,345226
1124,2004,"Onions and shallots, dry (excluding dehydrated)",9111,467411
1125,2005,"Onions and shallots, dry (excluding dehydrated)",7907,461002
1126,2006,"Onions and shallots, dry (excluding dehydrated)",8525,395623
1127,2007,"Onions and shallots, dry (excluding dehydrated)",8388,450213
1128,2008,"Onions and shallots, dry (excluding dehydrated)",8942,455829
1129,2009,"Onions and shallots, dry (excluding dehydrated)",8632,501664
1130,2010,"Onions and shallots, dry (excluding dehydrated)",8762,441810
1131,2011,"Onions and shallots, dry (excluding dehydrated)",9442,535473
1132,2012,"Onions and shallots, dry (excluding dehydrated)",9512,509495
1133,2013,"Onions and shallots, dry (excluding dehydrated)",9691,418590
1134,2014,"Onions and shallots, dry (excluding dehydrated)",10224,489507
1135,2015,"Onions and shallots, dry (excluding dehydrated)",10324,441045
1136,2016,"Onions and shallots, dry (excluding dehydrated)",11294,462792
1137,2017,"Onions and shallots, dry (excluding dehydrated)",11781,459514
1138,2018,"Onions and shallots, dry (excluding dehydrated)",13580,370515
1139,2019,"Onions and shallots, dry (excluding dehydrated)",14390,421897
1140,2020,"Onions and shallots, dry (excluding dehydrated)",14730,427447
1141,2021,"Onions and shallots, dry (excluding dehydrated)",16580,445440
1142,2006,"Onions and shallots, green",1368,328034
1143,2007,"Onions and shallots, green",1367,368830
1144,2008,"Onions and shallots, green",1644,345517
1145,2009,"Onions and shallots, green",1633,444605
1146,2010,"Onions and shallots, green",1698,353139
1147,2011,"Onions and shallots, green",1949,388558
1148,2012,"Onions and shallots, green",1965,527471
1149,2013,"Onions and shallots, green",2005,434828
1150,2014,"Onions and shallots, green",2191,407325
1151,2015,"Onions and shallots, green",2297,426282
1152,2016,"Onions and shallots, green",2269,413521
1153,2017,"Onions and shallots, green",2285,400888
1154,1961,"Other beans, green",10754,79730
1155,1962,"Other beans, green",11824,73789
1156,1963,"Other beans, green",12068,91308
1157,1964,"Other beans, green",12381,84367
1158,1965,"Other beans, green",9831,77667
1159,1966,"Other beans, green",11175,96242
1160,1967,"Other beans, green",11203,100948
1161,1968,"Other beans, green",8818,94978
1162,1969,"Other beans, green",9372,82613
1163,1970,"Other beans, green",10207,94523
1164,1971,"Other beans, green",10272,80091
1165,1972,"Other beans, green",9252,88789
1166,1973,"Other beans, green",9057,83560
1167,1974,"Other beans, green",9704,91538
1168,1975,"Other beans, green",9509,77599
1169,1976,"Other beans, green",9560,54434
1170,1977,"Other beans, green",9517,92191
1171,1978,"Other beans, green",9696,74401
1172,1979,"Other beans, green",9153,94347
1173,1980,"Other beans, green",8252,70458
1174,1981,"Other beans, green",8895,86551
1175,1982,"Other beans, green",8947,80292
1176,1983,"Other beans, green",7926,70458
1177,1984,"Other beans, green",8242,79657
1178,1985,"Other beans, green",8276,89773
1179,1986,"Other beans, green",8611,86535
1180,1987,"Other beans, green",7697,83106
1181,1988,"Other beans, green",8707,86236
1182,1989,"Other beans, green",8626,81013
1183,1990,"Other beans, green",6753,70280
1184,1991,"Other beans, green",5261,90852
1185,1992,"Other beans, green",5913,100073
1186,1993,"Other beans, green",4305,108606
1187,1994,"Other beans, green",3999,95331
1188,1995,"Other beans, green",4739,92431
1189,1996,"Other beans, green",4828,100673
1190,1997,"Other beans, green",4482,102827
1191,1998,"Other beans, green",4489,101773
1192,1999,"Other beans, green",4149,106840
1193,2000,"Other beans, green",4412,107491
1194,2001,"Other beans, green",4255,111873
1195,2002,"Other beans, green",4396,113287
1196,2003,"Other beans, green",4513,84917
1197,2004,"Other beans, green",4433,106977
1198,2005,"Other beans, green",4065,106086
1199,2006,"Other beans, green",4425,94316
1200,2007,"Other beans, green",4302,110232
1201,2008,"Other beans, green",4775,103162
1202,2009,"Other beans, green",4293,103972
1203,2010,"Other beans, green",3925,105473
1204,2011,"Other beans, green",3395,115190
1205,2012,"Other beans, green",4201,108046
1206,2013,"Other beans, green",4679,107698
1207,2014,"Other beans, green",4130,114455
1208,2015,"Other beans, green",4146,114439
1209,2016,"Other beans, green",4158,109750
1210,2017,"Other beans, green",4508,114173
1211,2018,"Other beans, green",4970,82857
1212,2019,"Other beans, green",4060,97808
1213,2020,"Other beans, green",3940,104975
1214,2021,"Other beans, green",4780,108682
1215,2007,Other berries and fruits of the genus vaccinium n.e.c.,80,37375
1216,2008,Other berries and fruits of the genus vaccinium n.e.c.,76,23289
1217,2009,Other berries and fruits of the genus vaccinium n.e.c.,125,17920
1218,2010,Other berries and fruits of the genus vaccinium n.e.c.,89,24607
1219,2011,Other berries and fruits of the genus vaccinium n.e.c.,142,21408
1220,2012,Other berries and fruits of the genus vaccinium n.e.c.,1052,25608
1221,2013,Other berries and fruits of the genus vaccinium n.e.c.,1171,27395
1222,2014,Other berries and fruits of the genus vaccinium n.e.c.,1634,30900
1223,2015,Other berries and fruits of the genus vaccinium n.e.c.,1748,34376
1224,2016,Other berries and fruits of the genus vaccinium n.e.c.,1960,29469
1225,2017,Other berries and fruits of the genus vaccinium n.e.c.,2123,35111
1226,2018,Other berries and fruits of the genus vaccinium n.e.c.,2840,25845
1227,2019,Other berries and fruits of the genus vaccinium n.e.c.,2970,20774
1228,2020,Other berries and fruits of the genus vaccinium n.e.c.,3010,18007
1229,2021,Other berries and fruits of the genus vaccinium n.e.c.,2930,31160
1230,1961,"Other oil seeds, n.e.c.",1612,8331
1231,1962,"Other oil seeds, n.e.c.",8788,10977
1232,1963,"Other oil seeds, n.e.c.",6367,6443
1233,1964,"Other oil seeds, n.e.c.",3504,11946
1234,1965,"Other oil seeds, n.e.c.",4569,13533
1235,1966,"Other oil seeds, n.e.c.",3694,13649
1236,1967,"Other oil seeds, n.e.c.",2211,14270
1237,1968,"Other oil seeds, n.e.c.",1091,14180
1238,1969,"Other oil seeds, n.e.c.",1100,8764
1239,1970,"Other oil seeds, n.e.c.",1212,10091
1240,1971,"Other oil seeds, n.e.c.",1515,11696
1241,1972,"Other oil seeds, n.e.c.",2332,10896
1242,1973,"Other oil seeds, n.e.c.",1149,10914
1243,1974,"Other oil seeds, n.e.c.",372,14624
1244,1975,"Other oil seeds, n.e.c.",558,12097
1245,1977,"Other oil seeds, n.e.c.",2509,10183
1246,1978,"Other oil seeds, n.e.c.",1499,13229
1247,1979,"Other oil seeds, n.e.c.",1142,12907
1248,1980,"Other oil seeds, n.e.c.",823,13645
1249,1981,"Other oil seeds, n.e.c.",783,10115
1250,1982,"Other oil seeds, n.e.c.",1010,10891
1251,1983,"Other oil seeds, n.e.c.",1268,6869
1252,1984,"Other oil seeds, n.e.c.",1305,10927
1253,1985,"Other oil seeds, n.e.c.",1117,9615
1254,1986,"Other oil seeds, n.e.c.",928,10205
1255,1987,"Other oil seeds, n.e.c.",1069,13564
1256,1988,"Other oil seeds, n.e.c.",1414,12284
1257,1989,"Other oil seeds, n.e.c.",1477,8016
1258,1961,Other pulses n.e.c.,21474,21714
1259,1962,Other pulses n.e.c.,26407,22873
1260,1963,Other pulses n.e.c.,23541,23051
1261,2003,Other pulses n.e.c.,5323,41561
1262,2004,Other pulses n.e.c.,4692,42177
1263,2005,Other pulses n.e.c.,4200,42778
1264,2006,Other pulses n.e.c.,3900,43378
1265,2007,Other pulses n.e.c.,3877,43979
1266,2008,Other pulses n.e.c.,5300,44579
1267,2009,Other pulses n.e.c.,3300,45179
1268,1991,Other stone fruits,520,163462
1269,1995,Other stone fruits,500,76000
1270,1997,Other stone fruits,490,46939
1271,2000,Other stone fruits,500,100000
1272,2002,Other stone fruits,440,77273
1273,2003,Other stone fruits,474,87300
1274,2004,Other stone fruits,473,126364
1275,2005,Other stone fruits,472,98008
1276,2006,Other stone fruits,473,115264
1277,2007,Other stone fruits,561,106881
1278,2008,Other stone fruits,559,76977
1279,2009,Other stone fruits,559,168229
1280,2010,Other stone fruits,556,71295
1281,2011,Other stone fruits,542,98948
1282,2012,Other stone fruits,497,85895
1283,2013,Other stone fruits,496,133952
1284,2014,Other stone fruits,493,136126
1285,2015,Other stone fruits,491,91853
1286,2016,Other stone fruits,491,87047
1287,2017,Other stone fruits,639,42300
1288,1976,"Other vegetables, fresh n.e.c.",65097,125451
1289,1977,"Other vegetables, fresh n.e.c.",65648,149723
1290,1978,"Other vegetables, fresh n.e.c.",65103,143444
1291,1979,"Other vegetables, fresh n.e.c.",67931,140212
1292,1980,"Other vegetables, fresh n.e.c.",64281,138766
1293,1981,"Other vegetables, fresh n.e.c.",66119,151242
1294,1982,"Other vegetables, fresh n.e.c.",65972,152700
1295,1983,"Other vegetables, fresh n.e.c.",54415,177341
1296,1984,"Other vegetables, fresh n.e.c.",59555,180505
1297,1985,"Other vegetables, fresh n.e.c.",52500,180952
1298,1986,"Other vegetables, fresh n.e.c.",50000,180000
1299,1987,"Other vegetables, fresh n.e.c.",47000,180851
1300,1988,"Other vegetables, fresh n.e.c.",45000,188889
1301,1989,"Other vegetables, fresh n.e.c.",42000,190476
1302,1990,"Other vegetables, fresh n.e.c.",40000,187500
1303,2007,"Other vegetables, fresh n.e.c.",13103,287040
1304,2008,"Other vegetables, fresh n.e.c.",13813,288735
1305,2009,"Other vegetables, fresh n.e.c.",13601,310223
1306,2010,"Other vegetables, fresh n.e.c.",11807,298033
1307,2011,"Other vegetables, fresh n.e.c.",11965,311894
1308,2012,"Other vegetables, fresh n.e.c.",12683,309905
1309,2013,"Other vegetables, fresh n.e.c.",11711,281312
1310,2014,"Other vegetables, fresh n.e.c.",12475,313056
1311,2015,"Other vegetables, fresh n.e.c.",12228,298734
1312,2016,"Other vegetables, fresh n.e.c.",13375,303707
1313,2017,"Other vegetables, fresh n.e.c.",13837,302336
1314,2018,"Other vegetables, fresh n.e.c.",1900,95842
1315,2019,"Other vegetables, fresh n.e.c.",2060,98350
1316,2020,"Other vegetables, fresh n.e.c.",2000,114100
1317,2021,"Other vegetables, fresh n.e.c.",2200,106545
1318,1992,Peaches and nectarines,200,55000
1319,1993,Peaches and nectarines,200,40000
1320,1994,Peaches and nectarines,200,35000
1321,1995,Peaches and nectarines,200,35000
1322,1996,Peaches and nectarines,200,40000
1323,1997,Peaches and nectarines,200,15000
1324,1998,Peaches and nectarines,200,35000
1325,1999,Peaches and nectarines,200,35000
1326,2000,Peaches and nectarines,200,50000
1327,2001,Peaches and nectarines,200,25000
1328,2002,Peaches and nectarines,100,50000
1329,2003,Peaches and nectarines,101,34950
1330,2004,Peaches and nectarines,103,89515
1331,2005,Peaches and nectarines,104,72500
1332,2006,Peaches and nectarines,104,76923
